n_estimators,max_depth,subsample,colsample_bylevel,max_bin,reg_lambda,learning_rate,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train rmse,Val rmse,Test rmse,Train mape,Val mape,Test mape,Time,random_state,verbose,bootstrap_type,n_columns,n_features,Precedence
50.0,4.0,0.7,0.7,64.0,0.01,0.01,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Hitouts', 'Score Involvements', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Tackles Outside 50', 'Contested Marks', 'Behind Assists', 'Metres Gained', 'Marks', 'Intercepts', 'Marks Inside 50', 'Frees Agains', 'Goal Assists', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Disposal Efficiency %', 'Rebound 50s', 'Uncontested Marks', 'Frees For', 'Inside 50s', 'Turnovers', 'Bounces', 'Centre Clearances']",0.9935489548985884,0.555871,0.549987,0.544937,0.196754,0.198057,0.199176,,,,79.57,19260817.0,False,Bernoulli,31.0,30.0,30.0
50.0,4.0,0.7,0.7,64.0,0.01,0.01,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Hitouts', 'Score Involvements', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Tackles Outside 50', 'Contested Marks', 'Behind Assists', 'Metres Gained', 'Marks', 'Intercepts', 'Marks Inside 50', 'Frees Agains', 'Goal Assists', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Disposal Efficiency %', 'Rebound 50s', 'Uncontested Marks', 'Frees For', 'Inside 50s', 'Turnovers', 'Bounces', 'Centre Clearances', 'Behinds']",0.9948958251788526,0.558486,0.551114,0.551654,0.196174,0.197809,0.1977,,,,84.24,19260817.0,False,Bernoulli,32.0,31.0,31.0
50.0,4.0,0.7,0.7,64.0,0.01,0.01,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Hitouts', 'Score Involvements', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Tackles Outside 50', 'Contested Marks', 'Behind Assists', 'Metres Gained', 'Marks', 'Intercepts', 'Marks Inside 50', 'Frees Agains', 'Goal Assists', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Disposal Efficiency %', 'Rebound 50s', 'Uncontested Marks', 'Frees For', 'Inside 50s', 'Turnovers', 'Bounces', 'Centre Clearances', 'Behinds', 'Uncontested Possessions']",0.996206147250226,0.580511,0.571552,0.568289,0.191219,0.193253,0.193998,,,,82.15,19260817.0,False,Bernoulli,33.0,32.0,32.0
50.0,4.0,0.7,0.7,64.0,0.01,0.01,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Hitouts', 'Score Involvements', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Tackles Outside 50', 'Contested Marks', 'Behind Assists', 'Metres Gained', 'Marks', 'Intercepts', 'Marks Inside 50', 'Frees Agains', 'Goal Assists', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Disposal Efficiency %', 'Rebound 50s', 'Uncontested Marks', 'Frees For', 'Inside 50s', 'Turnovers', 'Bounces', 'Centre Clearances', 'Behinds', 'Uncontested Possessions', 'Clearances']",0.9974370585950636,0.555719,0.550281,0.548354,0.196788,0.197992,0.198426,,,,87.08,19260817.0,False,Bernoulli,34.0,33.0,33.0
50.0,4.0,0.7,0.7,64.0,0.01,0.01,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Hitouts', 'Score Involvements', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Tackles Outside 50', 'Contested Marks', 'Behind Assists', 'Metres Gained', 'Marks', 'Intercepts', 'Marks Inside 50', 'Frees Agains', 'Goal Assists', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Disposal Efficiency %', 'Rebound 50s', 'Uncontested Marks', 'Frees For', 'Inside 50s', 'Turnovers', 'Bounces', 'Centre Clearances', 'Behinds', 'Uncontested Possessions', 'Clearances', 'Stoppage Clearances']",0.998608877114658,0.570653,0.561485,0.564565,0.193452,0.19551,0.194833,,,,86.0,19260817.0,False,Bernoulli,35.0,34.0,34.0
50.0,4.0,0.7,0.7,64.0,0.01,0.01,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Hitouts', 'Score Involvements', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Tackles Outside 50', 'Contested Marks', 'Behind Assists', 'Metres Gained', 'Marks', 'Intercepts', 'Marks Inside 50', 'Frees Agains', 'Goal Assists', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Disposal Efficiency %', 'Rebound 50s', 'Uncontested Marks', 'Frees For', 'Inside 50s', 'Turnovers', 'Bounces', 'Centre Clearances', 'Behinds', 'Uncontested Possessions', 'Clearances', 'Stoppage Clearances', 'Ineffective Disposals']",0.9996307329850735,0.559589,0.548282,0.5471,0.195929,0.198432,0.198702,,,,89.53,19260817.0,False,Bernoulli,36.0,35.0,35.0
50.0,4.0,0.7,0.7,64.0,0.01,0.01,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Hitouts', 'Score Involvements', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Tackles Outside 50', 'Contested Marks', 'Behind Assists', 'Metres Gained', 'Marks', 'Intercepts', 'Marks Inside 50', 'Frees Agains', 'Goal Assists', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Disposal Efficiency %', 'Rebound 50s', 'Uncontested Marks', 'Frees For', 'Inside 50s', 'Turnovers', 'Bounces', 'Centre Clearances', 'Behinds', 'Uncontested Possessions', 'Clearances', 'Stoppage Clearances', 'Ineffective Disposals', 'Winloss']",1.0,0.542374,0.534338,0.531741,0.199722,0.201471,0.202043,,,,89.59,19260817.0,False,Bernoulli,37.0,36.0,36.0
50.0,2.0,0.7,0.7,64.0,0.01,0.01,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Hitouts', 'Score Involvements', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Tackles Outside 50', 'Contested Marks', 'Behind Assists', 'Metres Gained', 'Marks', 'Intercepts', 'Marks Inside 50', 'Frees Agains', 'Goal Assists', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50']",0.9786263510963568,0.322514,0.327335,0.315876,0.243008,0.242146,0.244212,,,,48.82,19260817.0,False,Bernoulli,22.0,21.0,37.0
50.0,8.0,0.7,0.7,64.0,0.01,0.01,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Hitouts', 'Score Involvements', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Tackles Outside 50', 'Contested Marks', 'Behind Assists', 'Metres Gained', 'Marks', 'Intercepts', 'Marks Inside 50', 'Frees Agains', 'Goal Assists', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50']",0.9786263510963568,0.721101,0.697953,0.697025,0.155917,0.162261,0.162519,,,,140.71,19260817.0,False,Bernoulli,22.0,21.0,38.0
50.0,4.0,0.7,0.7,64.0,0.01,0.01,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements']",0.7965879020682821,0.58412,0.578646,0.581886,0.190394,0.191646,0.190918,,,,50.59,19260817.0,False,Bernoulli,5.0,4.0,4.0
