,p,var,lower_bound_p,lower_p_safety_margin_0.05,lower_p_safety_margin_0.1,lower_p_safety_margin_0.2,official_odds,return,lower_bound_return,return_safety_margin_0.05,return_safety_margin_0.1,return_safety_margin_0.2
Brownlow Medal Quinella: Noah Anderson/Patrick Cripps,0.002201461,2.20E-08,0.001905041,-0.047798539,-0.097798539,-0.197798539,251,-0.447433279,-0.521834601,-12.99743328,-25.54743328,-50.64743328
Brownlow Medal Quinella: Caleb Serong/Zachary Merrett,0.002777802,2.77E-08,0.00244493,-0.047222198,-0.097222198,-0.197222198,301,-0.163881722,-0.264076035,-15.21388172,-30.26388172,-60.36388172
Brownlow Medal Quinella: Chad Warner/Lachie Neale,0.000460167,4.60E-09,0.000324527,-0.049539833,-0.099539833,-0.199539833,351,-0.8384815,-0.886091123,-18.3884815,-35.9384815,-71.0384815
Brownlow Medal Quinella: Marcus Bontempelli/Tom Green,0.007716921,7.66E-08,0.007163482,-0.042283079,-0.092283079,-0.192283079,351,1.708639269,1.514382156,-15.84136073,-33.39136073,-68.49136073
Brownlow Medal Quinella: Marcus Bontempelli/Zak Butters,0.036741096,3.54E-07,0.035551286,-0.013258904,-0.063258904,-0.163258904,501,17.4072889,16.81119416,-7.642711105,-32.6927111,-82.7927111
Brownlow Medal Quinella: Errol Gulden/Zachary Merrett,0.000397492,3.97E-09,0.000271423,-0.049602508,-0.099602508,-0.199602508,551,-0.780981873,-0.850445826,-28.33098187,-55.88098187,-110.9809819
Brownlow Medal Quinella: Tom Green/Zachary Merrett,0.001198821,1.20E-08,0.000979971,-0.048801179,-0.098801179,-0.198801179,551,-0.339449393,-0.460035803,-27.88944939,-55.43944939,-110.5394494
Brownlow Medal Quinella: Jai Newcombe/Nick Daicos,0.000175667,1.76E-09,9.18E-05,-0.049824333,-0.099824333,-0.199824333,1000,-0.824333333,-0.908151185,-50.82433333,-100.8243333,-200.8243333
Brownlow Medal Quinella: Jai Newcombe/Patrick Cripps,4.98E-05,4.98E-10,5.19E-06,-0.049950167,-0.099950167,-0.199950167,1000,-0.950166667,-0.994812316,-50.95016667,-100.9501667,-200.9501667
Brownlow Medal Boxed Trifecta: Lachie Neale/Nick Daicos/Patrick Cripps,0.017585134,1.73E-07,0.016753848,-0.032414866,-0.082414866,-0.182414866,3.1,-0.945486085,-0.94806307,-1.100486085,-1.255486085,-1.565486085
Brownlow Medal Boxed Trifecta: Marcus Bontempelli/Nick Daicos/Patrick Cripps,0.039755381,3.82E-07,0.038519664,-0.010244619,-0.060244619,-0.160244619,7,-0.721712336,-0.730362353,-1.071712336,-1.421712336,-2.121712336
Brownlow Medal Boxed Trifecta: Caleb Serong/Nick Daicos/Patrick Cripps,0.007160439,7.11E-08,0.006627179,-0.042839561,-0.092839561,-0.192839561,10,-0.928395607,-0.933728211,-1.428395607,-1.928395607,-2.928395607
Brownlow Medal Boxed Trifecta: Nick Daicos/Patrick Cripps/Zachary Merrett,0.00604957,6.01E-08,0.005559143,-0.04395043,-0.09395043,-0.19395043,10,-0.939504302,-0.944408574,-1.439504302,-1.939504302,-2.939504302
Brownlow Medal Boxed Trifecta: Nick Daicos/Patrick Cripps/Tom Green,0.003940335,3.92E-08,0.003544112,-0.046059665,-0.096059665,-0.196059665,16,-0.936954645,-0.943294206,-1.736954645,-2.536954645,-4.136954645
Brownlow Medal Boxed Trifecta: Errol Gulden/Nick Daicos/Patrick Cripps,0.001377008,1.38E-08,0.001142478,-0.048622992,-0.098622992,-0.198622992,18,-0.975213852,-0.979435398,-1.875213852,-2.775213852,-4.575213852
Brownlow Medal Boxed Trifecta: Lachie Neale/Marcus Bontempelli/Nick Daicos,0.042649234,4.08E-07,0.041371263,-0.007350766,-0.057350766,-0.157350766,26,0.108880095,0.075652837,-1.191119905,-2.491119905,-5.091119905
Brownlow Medal Boxed Trifecta: Lachie Neale/Marcus Bontempelli/Patrick Cripps,0.014541805,1.43E-07,0.013784696,-0.035458195,-0.085458195,-0.185458195,26,-0.621913076,-0.641597903,-1.921913076,-3.221913076,-5.821913076
Brownlow Medal Boxed Trifecta: Lachie Neale/Nick Daicos/Zachary Merrett,0.00595844,5.92E-08,0.005471698,-0.04404156,-0.09404156,-0.19404156,36,-0.785496175,-0.803018875,-2.585496175,-4.385496175,-7.985496175
Brownlow Medal Boxed Trifecta: Caleb Serong/Lachie Neale/Nick Daicos,0.00820638,8.14E-08,0.007635801,-0.04179362,-0.09179362,-0.19179362,41,-0.6635384,-0.686932176,-2.7135384,-4.7635384,-8.8635384
Brownlow Medal Boxed Trifecta: Chad Warner/Nick Daicos/Patrick Cripps,0.000409171,4.09E-09,0.000281264,-0.049590829,-0.099590829,-0.199590829,41,-0.983223979,-0.988468158,-3.033223979,-5.083223979,-9.183223979
Brownlow Medal Boxed Trifecta: Lachie Neale/Patrick Cripps/Zachary Merrett,0.001932145,1.93E-08,0.001654411,-0.048067855,-0.098067855,-0.198067855,41,-0.920782046,-0.932169163,-2.970782046,-5.020782046,-9.120782046
Brownlow Medal Boxed Trifecta: Caleb Serong/Lachie Neale/Patrick Cripps,0.00282234,2.81E-08,0.002486818,-0.04717766,-0.09717766,-0.19717766,46,-0.870172356,-0.885606366,-3.170172356,-5.470172356,-10.07017236
Brownlow Medal Boxed Trifecta: Adam Treloar/Nick Daicos/Patrick Cripps,0.008882641,8.80E-08,0.008289219,-0.041117359,-0.091117359,-0.191117359,51,-0.546985293,-0.577249812,-3.096985293,-5.646985293,-10.74698529
Brownlow Medal Boxed Trifecta: Nick Daicos/Patrick Cripps/Zak Butters,0.014716624,1.45E-07,0.013955045,-0.035283376,-0.085283376,-0.185283376,56,-0.175869078,-0.218517473,-2.975869078,-5.775869078,-11.37586908
Brownlow Medal Boxed Trifecta: Errol Gulden/Lachie Neale/Patrick Cripps,0.0004723,4.72E-09,0.000334884,-0.0495277,-0.0995277,-0.1995277,67,-0.968355931,-0.977562779,-4.318355931,-7.668355931,-14.36835593
Brownlow Medal Boxed Trifecta: Lachie Neale/Nick Daicos/Tom Green,0.00415988,4.14E-08,0.003752814,-0.04584012,-0.09584012,-0.19584012,67,-0.721288019,-0.748561465,-4.071288019,-7.421288019,-14.12128802
Brownlow Medal Boxed Trifecta: Errol Gulden/Lachie Neale/Nick Daicos,0.001388558,1.39E-08,0.001153048,-0.048611442,-0.098611442,-0.198611442,71,-0.901412368,-0.918133615,-4.451412368,-8.001412368,-15.10141237
Brownlow Medal Boxed Trifecta: Nick Daicos/Noah Anderson/Patrick Cripps,0.002855179,2.85E-08,0.002517716,-0.047144821,-0.097144821,-0.197144821,71,-0.797282308,-0.821242159,-4.347282308,-7.897282308,-14.99728231
Brownlow Medal Boxed Trifecta: Adam Treloar/Lachie Neale/Nick Daicos,0.009285617,9.20E-08,0.008679007,-0.040714383,-0.090714383,-0.190714383,76,-0.294293097,-0.340395463,-4.094293097,-7.894293097,-15.4942931
Brownlow Medal Boxed Trifecta: Lachie Neale/Patrick Cripps/Tom Green,0.001656229,1.65E-08,0.001399053,-0.048343771,-0.098343771,-0.198343771,76,-0.874126583,-0.893671952,-4.674126583,-8.474126583,-16.07412658
Brownlow Medal Boxed Trifecta: Marcus Bontempelli/Nick Daicos/Zachary Merrett,0.015093547,1.49E-07,0.014322425,-0.034906453,-0.084906453,-0.184906453,76,0.147109591,0.088504312,-3.652890409,-7.452890409,-15.05289041
Brownlow Medal Boxed Trifecta: Adam Treloar/Lachie Neale/Patrick Cripps,0.003413066,3.40E-08,0.003044207,-0.046586934,-0.096586934,-0.196586934,81,-0.72354169,-0.753419236,-4.77354169,-8.82354169,-16.92354169
Brownlow Medal Boxed Trifecta: Jason H-Francis/Nick Daicos/Patrick Cripps,2.83E-05,2.83E-10,-5.33E-06,-0.049971667,-0.099971667,-0.199971667,81,-0.997705,-1.000431828,-5.047705,-9.097705,-17.197705
Brownlow Medal Boxed Trifecta: Caleb Serong/Marcus Bontempelli/Nick Daicos,0.017717245,1.74E-07,0.016882899,-0.032282755,-0.082282755,-0.182282755,86,0.523683088,0.451929304,-3.776316912,-8.076316912,-16.67631691
Brownlow Medal Boxed Trifecta: Caleb Serong/Marcus Bontempelli/Patrick Cripps,0.006164348,6.13E-08,0.005669318,-0.043835652,-0.093835652,-0.193835652,101,-0.377400886,-0.427398839,-5.427400886,-10.47740089,-20.57740089
Brownlow Medal Boxed Trifecta: Marcus Bontempelli/Patrick Cripps/Zachary Merrett,0.004637658,4.62E-08,0.004207953,-0.045362342,-0.095362342,-0.195362342,101,-0.531596578,-0.574996736,-5.581596578,-10.63159658,-20.73159658
Brownlow Medal Boxed Trifecta: Chad Warner/Lachie Neale/Nick Daicos,0.000600001,6.00E-09,0.000445128,-0.049399999,-0.099399999,-0.199399999,111,-0.933399891,-0.950590792,-6.483399891,-12.03339989,-23.13339989
Brownlow Medal Boxed Trifecta: Chad Warner/Lachie Neale/Patrick Cripps,0.000216457,2.16E-09,0.000123417,-0.049783543,-0.099783543,-0.199783543,111,-0.975973276,-0.986300694,-6.525973276,-12.07597328,-23.17597328
Brownlow Medal Boxed Trifecta: Lachie Neale/Nick Daicos/Zak Butters,0.015492612,1.53E-07,0.014711521,-0.034507388,-0.084507388,-0.184507388,111,0.719679938,0.632978802,-4.830320062,-10.38032006,-21.48032006
Brownlow Medal Boxed Trifecta: Lachie Neale/Patrick Cripps/Zak Butters,0.005607727,5.58E-08,0.005135444,-0.044392273,-0.094392273,-0.194392273,126,-0.293426427,-0.352934081,-6.593426427,-12.89342643,-25.49342643
Brownlow Medal Boxed Trifecta: Errol Gulden/Marcus Bontempelli/Patrick Cripps,0.001188731,1.19E-08,0.000970803,-0.048811269,-0.098811269,-0.198811269,131,-0.844276241,-0.87282484,-7.394276241,-13.94427624,-27.04427624
Brownlow Medal Boxed Trifecta: Errol Gulden/Marcus Bontempelli/Nick Daicos,0.003165418,3.16E-08,0.002810149,-0.046834582,-0.096834582,-0.196834582,141,-0.553676032,-0.603768935,-7.603676032,-14.65367603,-28.75367603
Brownlow Medal Boxed Trifecta: Caleb Serong/Patrick Cripps/Zachary Merrett,0.000960179,9.59E-09,0.000764296,-0.049039821,-0.099039821,-0.199039821,151,-0.855012938,-0.884591326,-8.405012938,-15.95501294,-31.05501294
Brownlow Medal Boxed Trifecta: Jason H-Francis/Lachie Neale/Nick Daicos,2.34E-05,2.34E-10,-7.18E-06,-0.049976571,-0.099976571,-0.199976571,151,-0.996462286,-1.001084763,-8.546462286,-16.09646229,-31.19646229
Brownlow Medal Boxed Trifecta: Marcus Bontempelli/Nick Daicos/Tom Green,0.009080182,9.00E-08,0.008480257,-0.040919818,-0.090919818,-0.190919818,151,0.371107444,0.28051886,-7.178892556,-14.72889256,-29.82889256
Brownlow Medal Boxed Trifecta: Caleb Serong/Nick Daicos/Zachary Merrett,0.002839727,2.83E-08,0.002503176,-0.047160273,-0.097160273,-0.197160273,176,-0.500208014,-0.559440976,-9.300208014,-18.10020801,-35.70020801
Brownlow Medal Boxed Trifecta: Jason H-Francis/Lachie Neale/Patrick Cripps,0,0,0,-0.05,-0.1,-0.2,176,-1,-1,-9.8,-18.6,-36.2
Brownlow Medal Boxed Trifecta: Lachie Neale/Marcus Bontempelli/Zachary Merrett,0.005635801,5.60E-08,0.005162344,-0.044364199,-0.094364199,-0.194364199,176,-0.008098985,-0.091427422,-8.808098985,-17.60809898,-35.20809898
Brownlow Medal Boxed Trifecta: Lachie Neale/Nick Daicos/Noah Anderson,0.003247334,3.24E-08,0.002887512,-0.046752666,-0.096752666,-0.196752666,176,-0.428469299,-0.491797889,-9.228469299,-18.0284693,-35.6284693
Brownlow Medal Boxed Trifecta: Marcus Bontempelli/Patrick Cripps/Tom Green,0.003178118,3.17E-08,0.002822139,-0.046821882,-0.096821882,-0.196821882,176,-0.440651251,-0.503303468,-9.240651251,-18.04065125,-35.64065125
Brownlow Medal Boxed Trifecta: Caleb Serong/Errol Gulden/Nick Daicos,0.00061639,6.16E-09,0.000459417,-0.04938361,-0.09938361,-0.19938361,201,-0.876105667,-0.907657156,-10.92610567,-20.97610567,-41.07610567
Brownlow Medal Boxed Trifecta: Caleb Serong/Lachie Neale/Marcus Bontempelli,0.007506765,7.45E-08,0.006960856,-0.042493235,-0.092493235,-0.192493235,201,0.508859774,0.399132083,-9.541140226,-19.59114023,-39.69114023
Brownlow Medal Boxed Trifecta: Jai Newcombe/Nick Daicos/Patrick Cripps,0.000123538,1.24E-09,5.32E-05,-0.049876462,-0.099876462,-0.199876462,201,-0.975168886,-0.989297492,-11.02516889,-21.07516889,-41.17516889
Brownlow Medal Boxed Trifecta: Adam Treloar/Marcus Bontempelli/Nick Daicos,0.014749975,1.45E-07,0.013987547,-0.035250025,-0.085250025,-0.185250025,226,2.33349427,2.161185533,-8.96650573,-20.26650573,-42.86650573
Brownlow Medal Boxed Trifecta: Caleb Serong/Errol Gulden/Patrick Cripps,0.0002456,2.46E-09,0.000146496,-0.0497544,-0.0997544,-0.1997544,226,-0.944494474,-0.966891946,-12.24449447,-23.54449447,-46.14449447
Brownlow Medal Boxed Trifecta: Chad Warner/Marcus Bontempelli/Nick Daicos,0.000971842,9.71E-09,0.000774774,-0.049028158,-0.099028158,-0.199028158,226,-0.780363733,-0.824901158,-12.08036373,-23.38036373,-45.98036373
Brownlow Medal Boxed Trifecta: Errol Gulden/Nick Daicos/Zachary Merrett,0.000521346,5.21E-09,0.000376975,-0.049478654,-0.099478654,-0.199478654,226,-0.882175909,-0.914803727,-12.18217591,-23.48217591,-46.08217591
Brownlow Medal Boxed Trifecta: Lachie Neale/Noah Anderson/Patrick Cripps,0.001050623,1.05E-08,0.000845731,-0.048949377,-0.098949377,-0.198949377,226,-0.762559155,-0.808864771,-12.06255915,-23.36255915,-45.96255915
Brownlow Medal Boxed Trifecta: Caleb Serong/Nick Daicos/Tom Green,0.001846671,1.84E-08,0.001575137,-0.048153329,-0.098153329,-0.198153329,251,-0.5364857,-0.604640595,-13.0864857,-25.6364857,-50.7364857
Brownlow Medal Boxed Trifecta: Chad Warner/Marcus Bontempelli/Patrick Cripps,0.000495965,4.96E-09,0.00035515,-0.049504035,-0.099504035,-0.199504035,251,-0.875512899,-0.910857356,-13.4255129,-25.9755129,-51.0755129
Brownlow Medal Boxed Trifecta: Errol Gulden/Patrick Cripps/Zachary Merrett,0.000158186,1.58E-09,7.86E-05,-0.049841814,-0.099841814,-0.199841814,251,-0.960295203,-0.980259498,-13.5102952,-26.0602952,-51.1602952
Brownlow Medal Boxed Trifecta: Chad Warner/Nick Daicos/Zachary Merrett,0.000202213,2.02E-09,0.000112286,-0.049797787,-0.099797787,-0.199797787,276,-0.944189305,-0.969009166,-14.74418931,-28.54418931,-56.14418931
Brownlow Medal Boxed Trifecta: Marcus Bontempelli/Patrick Cripps/Zak Butters,0.012148771,1.20E-07,0.011455917,-0.037851229,-0.087851229,-0.187851229,276,2.353060783,2.161832986,-11.44693922,-25.24693922,-52.84693922
Brownlow Medal Boxed Trifecta: Nick Daicos/Tom Green/Zachary Merrett,0.00137489,1.37E-08,0.00114054,-0.04862511,-0.09862511,-0.19862511,276,-0.620530405,-0.68521104,-14.42053041,-28.22053041,-55.82053041
Brownlow Medal Boxed Trifecta: Caleb Serong/Patrick Cripps/Tom Green,0.00063094,6.31E-09,0.000472127,-0.04936906,-0.09936906,-0.19936906,301,-0.810086952,-0.85788978,-15.86008695,-30.91008695,-61.01008695
Brownlow Medal Boxed Trifecta: Marcus Bontempelli/Nick Daicos/Zak Butters,0.035689553,3.44E-07,0.034516253,-0.014310447,-0.064310447,-0.164310447,301,9.742555471,9.38939224,-5.307444529,-20.35744453,-50.45744453
Brownlow Medal Boxed Trifecta: Marcus Bontempelli/Noah Anderson/Patrick Cripps,0.002360031,2.35E-08,0.002053146,-0.047639969,-0.097639969,-0.197639969,301,-0.289630776,-0.382003177,-15.33963078,-30.38963078,-60.48963078
Brownlow Medal Boxed Trifecta: Patrick Cripps/Tom Green/Zachary Merrett,0.000566465,5.66E-09,0.00041598,-0.049433535,-0.099433535,-0.199433535,301,-0.829494074,-0.874790083,-15.87949407,-30.92949407,-61.02949407
Brownlow Medal Boxed Trifecta: Adam Treloar/Caleb Serong/Patrick Cripps,0.00139872,1.40E-08,0.00116235,-0.04860128,-0.09860128,-0.19860128,326,-0.544017309,-0.621073766,-16.84401731,-33.14401731,-65.74401731
Brownlow Medal Boxed Trifecta: Adam Treloar/Nick Daicos/Zachary Merrett,0.003395869,3.38E-08,0.003027938,-0.046604131,-0.096604131,-0.196604131,326,0.107053423,-0.012892206,-16.19294658,-32.49294658,-65.09294658
Brownlow Medal Boxed Trifecta: Adam Treloar/Errol Gulden/Patrick Cripps,0.000314181,3.14E-09,0.000202095,-0.049685819,-0.099685819,-0.199685819,351,-0.889722335,-0.929064577,-18.43972234,-35.98972234,-71.08972234
Brownlow Medal Boxed Trifecta: Adam Treloar/Patrick Cripps/Zachary Merrett,0.001154195,1.15E-08,0.000939452,-0.048845805,-0.098845805,-0.198845805,351,-0.594877628,-0.670252379,-18.14487763,-35.69487763,-70.79487763
Brownlow Medal Boxed Trifecta: Errol Gulden/Lachie Neale/Marcus Bontempelli,0.001318035,1.32E-08,0.001088575,-0.048681965,-0.098681965,-0.198681965,351,-0.537369744,-0.617910217,-18.08736974,-35.63736974,-70.73736974
Brownlow Medal Boxed Trifecta: Jason H-Francis/Marcus Bontempelli/Nick Daicos,3.34E-05,3.34E-10,-3.14E-06,-0.049966571,-0.099966571,-0.199966571,351,-0.988266571,-1.001101361,-18.53826657,-36.08826657,-71.18826657
Brownlow Medal Boxed Trifecta: Marcus Bontempelli/Nick Daicos/Noah Anderson,0.006379241,6.34E-08,0.005875712,-0.043620759,-0.093620759,-0.193620759,351,1.239113578,1.062374761,-16.31088642,-33.86088642,-68.96088642
Brownlow Medal Boxed Trifecta: Adam Treloar/Caleb Serong/Nick Daicos,0.004673847,4.65E-08,0.004242477,-0.045326153,-0.095326153,-0.195326153,376,0.757366433,0.59517131,-18.04263357,-36.84263357,-74.44263357
Brownlow Medal Boxed Trifecta: Adam Treloar/Marcus Bontempelli/Patrick Cripps,0.004909137,4.89E-08,0.004467095,-0.045090863,-0.095090863,-0.195090863,401,0.968564075,0.791305061,-19.08143593,-39.13143593,-79.23143593
Brownlow Medal Boxed Trifecta: Caleb Serong/Chad Warner/Patrick Cripps,6.53E-05,6.53E-10,1.42E-05,-0.049934656,-0.099934656,-0.199934656,401,-0.973797107,-0.99429752,-21.02379711,-41.07379711,-81.17379711
Brownlow Medal Boxed Trifecta: Caleb Serong/Nick Daicos/Zak Butters,0.007227579,7.18E-08,0.006691842,-0.042772421,-0.092772421,-0.192772421,451,2.259638087,2.018020907,-20.29036191,-42.84036191,-87.94036191
Brownlow Medal Boxed Trifecta: Caleb Serong/Patrick Cripps/Zak Butters,0.002289662,2.28E-08,0.001987376,-0.047710338,-0.097710338,-0.197710338,476,0.089879054,-0.05400904,-23.71012095,-47.51012095,-95.11012095
Brownlow Medal Boxed Trifecta: Caleb Serong/Jason H-Francis/Nick Daicos,3.33E-06,3.33E-11,-8.21E-06,-0.049996667,-0.099996667,-0.199996667,501,-0.99833,-1.00411504,-26.04833,-51.09833,-101.19833
Brownlow Medal Boxed Trifecta: Nick Daicos/Zachary Merrett/Zak Butters,0.005217619,5.19E-08,0.00476197,-0.044782381,-0.094782381,-0.194782381,501,1.614027084,1.385747043,-23.43597292,-48.48597292,-98.58597292
Brownlow Medal Boxed Trifecta: Jai Newcombe/Lachie Neale/Patrick Cripps,3.20E-05,3.20E-10,-3.76E-06,-0.049967962,-0.099967962,-0.199967962,601,-0.980745235,-1.002259642,-31.03074523,-61.08074523,-121.1807452
Brownlow Medal Boxed Trifecta: Matt Rowell/Nick Daicos/Patrick Cripps,0.001786492,1.78E-08,0.001519412,-0.048213508,-0.098213508,-0.198213508,601,0.073681947,-0.08683348,-29.97631805,-60.02631805,-120.1263181
Brownlow Medal Boxed Trifecta: Patrick Cripps/Zachary Merrett/Zak Butters,0.001920452,1.92E-08,0.001643558,-0.048079548,-0.098079548,-0.198079548,601,0.154191811,-0.012221785,-29.89580819,-59.94580819,-120.0458082
Brownlow Medal Boxed Trifecta: Jai Newcombe/Lachie Neale/Nick Daicos,8.08E-05,8.08E-10,2.39E-05,-0.049919212,-0.099919212,-0.199919212,651,-0.947407091,-0.984412614,-33.49740709,-66.04740709,-131.1474071
Brownlow Medal Boxed Trifecta: Jason H-Francis/Nick Daicos/Zachary Merrett,0,0,0,-0.05,-0.1,-0.2,651,-1,-1,-33.55,-66.1,-131.2
Brownlow Medal Boxed Trifecta: Jason H-Francis/Marcus Bontempelli/Patrick Cripps,1.00E-05,1.00E-10,-1.00E-05,-0.04999,-0.09999,-0.19999,701,-0.99299,-1.00700993,-36.04299,-71.09299,-141.19299
Brownlow Medal Boxed Trifecta: Jai Newcombe/Marcus Bontempelli/Nick Daicos,0.000235955,2.36E-09,0.000138816,-0.049764045,-0.099764045,-0.199764045,801,-0.811000409,-0.888808622,-40.86100041,-80.91100041,-161.0110004
Brownlow Medal Boxed Pick4: Lachie Neale/Marcus Bontempelli/Nick Daicos/Patrick Cripps,0.020068573,1.97E-07,0.019181649,-0.029931427,-0.079931427,-0.179931427,5.5,-0.889622849,-0.894500928,-1.164622849,-1.439622849,-1.989622849
Brownlow Medal Boxed Pick4: Caleb Serong/Lachie Neale/Nick Daicos/Patrick Cripps,0.004080165,4.06E-08,0.003677001,-0.045919835,-0.095919835,-0.195919835,12,-0.951038024,-0.955875984,-1.551038024,-2.151038024,-3.351038024
Brownlow Medal Boxed Pick4: Lachie Neale/Nick Daicos/Patrick Cripps/Tom Green,0.002204937,2.20E-08,0.001908284,-0.047795063,-0.097795063,-0.197795063,13,-0.971335816,-0.975192305,-1.621335816,-2.271335816,-3.571335816
Brownlow Medal Boxed Pick4: Lachie Neale/Nick Daicos/Patrick Cripps/Zachary Merrett,0.003121562,3.11E-08,0.002768755,-0.046878438,-0.096878438,-0.196878438,13,-0.959419697,-0.964006187,-1.609419697,-2.259419697,-3.559419697
Brownlow Medal Boxed Pick4: Errol Gulden/Lachie Neale/Nick Daicos/Patrick Cripps,0.001039957,1.04E-08,0.000836107,-0.048960043,-0.098960043,-0.198960043,16,-0.983360685,-0.986622293,-1.783360685,-2.583360685,-4.183360685
Brownlow Medal Boxed Pick4: Adam Treloar/Lachie Neale/Nick Daicos/Patrick Cripps,0.004507644,4.49E-08,0.004083978,-0.045492356,-0.095492356,-0.195492356,19,-0.914354767,-0.922404424,-1.864354767,-2.814354767,-4.714354767
Brownlow Medal Boxed Pick4: Marcus Bontempelli/Nick Daicos/Patrick Cripps/Zachary Merrett,0.007689652,7.63E-08,0.007137184,-0.042310348,-0.092310348,-0.192310348,22,-0.83082766,-0.842981955,-1.93082766,-3.03082766,-5.23082766
Brownlow Medal Boxed Pick4: Caleb Serong/Marcus Bontempelli/Nick Daicos/Patrick Cripps,0.009156638,9.07E-08,0.008554217,-0.040843362,-0.090843362,-0.190843362,25,-0.77108404,-0.786144579,-2.02108404,-3.27108404,-5.77108404
Brownlow Medal Boxed Pick4: Caleb Serong/Nick Daicos/Patrick Cripps/Tom Green,0.000971823,9.71E-09,0.000774757,-0.049028177,-0.099028177,-0.199028177,26,-0.974732594,-0.979856319,-2.274732594,-3.574732594,-6.174732594
Brownlow Medal Boxed Pick4: Chad Warner/Lachie Neale/Nick Daicos/Patrick Cripps,0.000331837,3.32E-09,0.000216645,-0.049668163,-0.099668163,-0.199668163,26,-0.991372251,-0.994367227,-2.291372251,-3.591372251,-6.191372251
Brownlow Medal Boxed Pick4: Nick Daicos/Patrick Cripps/Tom Green/Zachary Merrett,0.000871339,8.71E-09,0.000684729,-0.049128661,-0.099128661,-0.199128661,29,-0.974731178,-0.98014286,-2.424731178,-3.874731178,-6.774731178
Brownlow Medal Boxed Pick4: Errol Gulden/Marcus Bontempelli/Nick Daicos/Patrick Cripps,0.001895556,1.89E-08,0.001620459,-0.048104444,-0.098104444,-0.198104444,31,-0.941237756,-0.949765772,-2.491237756,-4.041237756,-7.141237756
Brownlow Medal Boxed Pick4: Marcus Bontempelli/Nick Daicos/Patrick Cripps/Tom Green,0.005236515,5.21E-08,0.004780046,-0.044763485,-0.094763485,-0.194763485,34,-0.821958482,-0.837478421,-2.521958482,-4.221958482,-7.621958482
Brownlow Medal Boxed Pick4: Jason H-Francis/Lachie Neale/Nick Daicos/Patrick Cripps,5.00E-06,5.00E-11,-9.14E-06,-0.049995,-0.099995,-0.199995,36,-0.99982,-1.000329116,-2.79982,-4.59982,-8.19982
Brownlow Medal Boxed Pick4: Lachie Neale/Nick Daicos/Patrick Cripps/Zak Butters,0.007533836,7.48E-08,0.006986951,-0.042466164,-0.092466164,-0.192466164,36,-0.728781898,-0.748469755,-2.528781898,-4.328781898,-7.928781898
Brownlow Medal Boxed Pick4: Lachie Neale/Nick Daicos/Noah Anderson/Patrick Cripps,0.001788583,1.79E-08,0.001521347,-0.048211417,-0.098211417,-0.198211417,41,-0.92666808,-0.937624779,-2.97666808,-5.02666808,-9.12666808
Brownlow Medal Boxed Pick4: Caleb Serong/Nick Daicos/Patrick Cripps/Zachary Merrett,0.001507405,1.51E-08,0.001262038,-0.048492595,-0.098492595,-0.198492595,46,-0.930659358,-0.941946273,-3.230659358,-5.530659358,-10.13065936
Brownlow Medal Boxed Pick4: Chad Warner/Marcus Bontempelli/Nick Daicos/Patrick Cripps,0.000610162,6.10E-09,0.000453984,-0.049389838,-0.099389838,-0.199389838,51,-0.968881743,-0.976846824,-3.518881743,-6.068881743,-11.16888174
Brownlow Medal Boxed Pick4: Lachie Neale/Marcus Bontempelli/Nick Daicos/Zachary Merrett,0.007953702,7.89E-08,0.007391903,-0.042046298,-0.092046298,-0.192046298,51,-0.594361209,-0.623012935,-3.144361209,-5.694361209,-10.79436121
Brownlow Medal Boxed Pick4: Caleb Serong/Errol Gulden/Nick Daicos/Patrick Cripps,0.000474049,4.74E-09,0.000336379,-0.049525951,-0.099525951,-0.199525951,61,-0.971083035,-0.979480888,-4.021083035,-7.071083035,-13.17108303
Brownlow Medal Boxed Pick4: Caleb Serong/Lachie Neale/Marcus Bontempelli/Nick Daicos,0.010440792,1.03E-07,0.00979793,-0.039559208,-0.089559208,-0.189559208,61,-0.363111715,-0.402326283,-3.413111715,-6.463111715,-12.56311172
Brownlow Medal Boxed Pick4: Errol Gulden/Nick Daicos/Patrick Cripps/Zachary Merrett,0.000319955,3.20E-09,0.000206844,-0.049680045,-0.099680045,-0.199680045,61,-0.980482716,-0.987382494,-4.030482716,-7.080482716,-13.18048272
Brownlow Medal Boxed Pick4: Adam Treloar/Marcus Bontempelli/Nick Daicos/Patrick Cripps,0.008238083,8.17E-08,0.007666411,-0.041761917,-0.091761917,-0.191761917,67,-0.44804843,-0.486350443,-3.79804843,-7.14804843,-13.84804843
Brownlow Medal Boxed Pick4: Lachie Neale/Marcus Bontempelli/Patrick Cripps/Zachary Merrett,0.002331511,2.33E-08,0.002026482,-0.047668489,-0.097668489,-0.197668489,67,-0.843788742,-0.86422572,-4.193788742,-7.543788742,-14.24378874
Brownlow Medal Boxed Pick4: Marcus Bontempelli/Nick Daicos/Patrick Cripps/Zak Butters,0.016724373,1.64E-07,0.015913333,-0.033275627,-0.083275627,-0.183275627,67,0.120532997,0.066193282,-3.229467003,-6.579467003,-13.279467
Brownlow Medal Boxed Pick4: Adam Treloar/Nick Daicos/Patrick Cripps/Zachary Merrett,0.001905654,1.90E-08,0.001629826,-0.048094346,-0.098094346,-0.198094346,71,-0.864698577,-0.88428234,-4.414698577,-7.964698577,-15.06469858
